,URN,LA,GENDER,RELCHAR,PNORG,PNORB,PSENELSE,PSENELK,PNUMEAL,PNUMENGFL,PNUMUNCFL,PNUMFSMEVER,PNUMFSM,PERCTOT,PPERSABS10,TPUP,P8PUP,ATT8SCR,P8MEA,P8CILOW,P8CIUPP,EBACCAPS,PTL2BASICS_94,PTL2BASICS_95,PTEBACC_E_PTQ_EE,PTEBACC_94,PTEBACC_95,PT5EM_94,P8_BANDING,OVERALL_DESTPER,NOT_SUSTAINEDPER,UNKNOWNPER,OVERALL_DESTPER_DIS,NOT_SUSTAINEDPER_DIS,UNKNOWNPER_DIS,Rating
5,100051,202,Mixed,Does not apply,45.0,55.0,3.6,11.1,82.6,17.4,0.0,69.0,42.97108673978066,6.7,19.2,154.0,139,42.1,-0.18,-0.4,0.03,3.77,59.1%,40.3%,60.4%,20.1%,7.1%,52.6%,3,86%,8%,5%,85%,9%,6%,Good
6,100052,202,Mixed,Does not apply,47.5,52.5,2.4,6.9,55.8,44.2,0.0,54.2,22.782874617737004,5.4,14,200.0,188,44.6,-0.06,-0.24,0.13,4.08,63.0%,31.5%,58.5%,24.0%,12.0%,57.0%,3,91%,8%,1%,87%,13%,0%,Good
7,100053,202,Mixed,Does not apply,33.7,66.3,6.2,13.4,28.2,70.3,1.5,47.1,26.190476190476193,6.3,18.5,136.0,128,47.2,-0.08,-0.3,0.14,4.29,66.2%,47.1%,51.5%,36.8%,26.5%,62.5%,3,95%,4%,1%,90%,7%,3%,Good
9,100055,202,Mixed,Roman Catholic,58.8,41.2,3.5,8.9,52.2,47.8,0.0,54.5,29.254571026722925,5.3,14.3,115.0,107,48.3,0.09,-0.15,0.34,4.56,67.0%,45.2%,80.0%,40.9%,26.1%,60.9%,3,99%,0%,1%,98%,0%,2%,Good
10,100056,202,Boys,None,7.7,92.3,1.8,6.8,43.7,56.1,0.2,55.0,27.990430622009573,5.4,15.6,111.0,105,46.2,-0.44,-0.69,-0.2,4.53,65.8%,41.4%,84.7%,39.6%,27.0%,58.6%,4,93%,6%,1%,93%,7%,0%,Good
11,100059,202,Girls,Roman Catholic,98.6,1.4,0.8,8.1,43.9,56.0,0.1,42.2,17.33457595526561,4.9,9.5,173.0,169,54.6,0.54,0.34,0.73,4.84,77.5%,53.2%,56.6%,32.9%,21.4%,76.3%,1,97%,3%,1%,99%,1%,0%,Good
28,100182,203,Girls,Does not apply,99.2,0.8,1.0,10.8,26.4,73.4,0.2,34.5,12.477558348294435,4.2,8.8,171.0,156,47.5,-0.06,-0.27,0.14,4.13,65.5%,46.8%,28.7%,21.6%,18.1%,60.2%,3,94%,4%,1%,95%,5%,0%,Good
29,100183,203,Mixed,Does not apply,91.9,8.1,2.9,9.0,62.3,37.7,0.0,44.7,19.48324022346369,5.9,16.3,232.0,200,41.6,-0.28,-0.46,-0.11,3.55,51.7%,33.2%,41.8%,22.0%,11.6%,49.1%,4,96%,2%,1%,97%,3%,0%,Good
30,100190,203,Mixed,Does not apply,45.2,54.8,3.9,3.8,24.3,73.9,1.8,40.1,16.79790026246719,5.2,13.8,260.0,244,45.4,-0.41,-0.57,-0.25,3.92,57.7%,35.8%,33.1%,21.2%,13.5%,54.2%,4,92%,7%,1%,88%,9%,3%,Good
31,100192,203,Mixed,None,42.6,57.4,3.0,9.8,22.9,74.7,2.4,43.4,21.792763157894736,5.6,16.3,221.0,207,39.8,-0.83,-1.01,-0.66,3.61,54.8%,31.7%,63.8%,17.6%,9.5%,45.7%,5,89%,9%,2%,83%,15%,2%,Inadequate
32,100193,203,Girls,Roman Catholic,100.0,0.0,0.3,7.9,18.6,81.4,0.0,26.8,7.051282051282051,3.6,4.6,116.0,114,59.2,0.85,0.62,1.09,5.39,83.6%,62.9%,84.5%,59.5%,38.8%,82.8%,1,99%,1%,0%,100%,0%,0%,Outstanding
36,100277,204,Mixed,Does not apply,45.9,54.1,1.7,16.3,41.7,58.3,0.0,56.2,35.69131832797427,6.5,20.5,167.0,137,42.8,-0.16,-0.38,0.05,3.67,58.1%,37.1%,32.9%,20.4%,13.2%,52.7%,3,93%,6%,1%,91%,8%,1%,Good
39,100284,204,Mixed,Church of England,42.8,57.2,2.5,25.6,54.1,45.9,0.0,72.9,57.70609318996416,4.5,10.8,127.0,124,42.7,-0.1,-0.33,0.12,3.73,51.2%,32.3%,73.2%,35.4%,16.5%,50.4%,3,97%,3%,0%,97%,3%,0%,Good
40,100285,204,Mixed,Roman Catholic,47.7,52.3,1.7,18.2,53.2,45.2,1.6,62.7,37.05941591137966,4.1,10.9,167.0,162,48.6,0.37,0.18,0.57,4.32,68.9%,40.7%,41.9%,19.2%,12.6%,65.9%,2,94%,4%,1%,94%,5%,1%,Good
60,100379,205,Mixed,Does not apply,36.3,63.7,90.2,9.8,37.3,59.8,2.9,52.9,38.23529411764706,14.2,27.5,19.0,16,8.5,-1.72,-2.35,-1.09,0.39,5.3%,5.3%,0.0%,0.0%,0.0%,5.3%,5,91%,4%,4%,86%,7%,7%,Outstanding
63,100453,206,Mixed,Does not apply,36.3,63.7,3.3,12.0,19.7,80.3,0.0,72.9,44.057052297939784,5.1,12.8,144.0,138,32.8,-1,-1.21,-0.79,2.62,36.8%,9.7%,12.5%,2.8%,1.4%,31.9%,5,82%,17%,1%,81%,18%,2%,Requires Improvement
64,100455,206,Girls,Does not apply,99.7,0.3,1.2,15.0,58.1,41.9,0.0,70.7,35.83441138421733,6.5,16.9,139.0,132,57.3,0.83,0.61,1.05,5.29,83.5%,64.7%,62.6%,51.1%,41.0%,77.7%,1,92%,7%,2%,92%,7%,1%,Outstanding
66,100458,206,Boys,None,3.6,96.4,1.6,17.3,41.9,58.1,0.0,61.1,26.482617586912067,4.1,7.9,141.0,137,56.2,0.46,0.24,0.67,5.1,78.7%,62.4%,46.8%,42.6%,33.3%,73.8%,2,97%,2%,1%,95%,4%,1%,Outstanding
67,100459,206,Boys,Roman Catholic,2.3,97.7,1.0,9.5,64.4,31.3,4.3,57.3,30.65015479876161,4.2,8.7,168.0,163,50,0.3,0.1,0.49,4.5,69.6%,45.8%,49.4%,23.2%,14.9%,66.7%,2,96%,3%,1%,96%,4%,0%,Requires Improvement
71,100502,207,Mixed,Roman Catholic,36.5,63.5,2.4,10.4,47.0,53.0,0.0,38.9,14.26256077795786,4.4,10.6,111.0,106,48.3,0.17,-0.08,0.41,4.14,73.0%,48.6%,40.5%,14.4%,9.0%,67.6%,3,100%,0%,0%,100%,0%,0%,Outstanding
72,100503,207,Mixed,Roman Catholic,84.3,15.7,3.0,8.4,27.3,72.7,0.0,50.4,27.896995708154503,7.4,20.3,70.0,58,49.4,0.29,-0.04,0.62,4.25,70.0%,44.3%,37.1%,27.1%,15.7%,67.1%,3,87%,10%,3%,86%,10%,4%,Good
91,100624,208,Mixed,Does not apply,58.0,42.0,2.3,17.5,35.2,64.5,0.3,42.7,17.256162915326904,4.1,8.6,122.0,110,48.9,0.29,0.05,0.53,4.1,52.5%,30.3%,26.2%,13.1%,8.2%,52.5%,2,93%,6%,1%,90%,10%,0%,Good
92,100625,208,Mixed,Does not apply,45.4,54.6,5.7,4.9,54.6,45.4,0.0,58.2,25.43640897755611,5.2,12.6,116.0,111,45.8,0.16,-0.08,0.4,3.94,61.2%,44.8%,42.2%,26.7%,18.1%,59.5%,3,89%,6%,5%,90%,6%,5%,Outstanding
93,100627,208,Mixed,Church of England,49.7,50.3,2.4,16.6,48.8,50.8,0.4,50.3,27.171903881700555,4.5,13.1,94.0,81,42.2,-0.26,-0.54,0.02,3.86,52.1%,31.9%,56.4%,25.5%,12.8%,47.9%,3,86%,11%,3%,88%,9%,4%,Good
94,100637,208,Girls,Roman Catholic,97.1,2.9,1.3,5.5,47.8,52.2,0.0,42.3,14.101290963257199,4.1,9.9,149.0,145,51,0.55,0.34,0.76,4.63,71.1%,55.0%,72.5%,39.6%,22.1%,67.1%,1,97%,2%,1%,94%,4%,2%,Outstanding
95,100638,208,Mixed,Roman Catholic,44.5,55.5,2.8,6.5,43.2,56.6,0.2,24.2,10.283400809716598,2.6,3.2,170.0,163,56,0.54,0.34,0.73,5.15,75.3%,57.6%,55.9%,42.9%,35.3%,74.7%,1,98%,1%,1%,95%,0%,5%,Outstanding
103,100741,209,Girls,Does not apply,99.2,0.8,0.6,8.8,24.9,74.5,0.6,29.9,13.258110014104371,5.3,13.8,222.0,209,50.9,0.16,-0.01,0.34,4.61,65.8%,47.3%,72.1%,38.7%,30.2%,59.9%,3,98%,1%,1%,100%,0%,0%,Good
105,100743,209,Mixed,Does not apply,43.8,56.2,2.6,13.5,27.8,71.8,0.4,49.9,25.256410256410255,5.6,14.3,195.0,178,40.1,-0.4,-0.59,-0.21,3.15,48.2%,27.2%,9.2%,6.2%,4.6%,42.1%,4,89%,9%,1%,82%,16%,1%,Requires Improvement
106,100745,209,Boys,Does not apply,1.3,98.7,2.6,18.5,20.7,73.3,6.0,34.0,15.107913669064748,6.0,16.4,208.0,194,42.6,-0.72,-0.9,-0.54,3.77,58.2%,39.4%,29.8%,17.8%,15.9%,47.6%,5,93%,6%,1%,87%,11%,2%,Requires Improvement
107,100747,209,Mixed,Does not apply,51.6,48.4,2.2,12.2,41.0,58.4,0.6,42.9,21.485148514851485,5.1,13.8,138.0,108,41.4,-0.1,-0.34,0.14,3.73,49.3%,24.6%,31.9%,18.1%,13.0%,44.9%,3,88%,9%,3%,88%,9%,4%,Good
109,100749,209,Mixed,Church of England,43.4,56.6,2.5,9.6,25.3,74.3,0.4,36.8,17.328918322295806,3.6,4.6,108.0,99,43.6,-0.37,-0.62,-0.11,3.89,60.2%,43.5%,50.0%,16.7%,8.3%,53.7%,4,98%,2%,0%,97%,3%,0%,Good
110,100750,209,Girls,None,89.3,10.7,1.5,11.3,25.7,73.8,0.5,24.4,9.989258861439312,4.6,8.8,108.0,104,55.5,0.43,0.18,0.68,5.24,80.6%,61.1%,80.6%,56.5%,38.9%,77.8%,2,96%,4%,0%,90%,10%,0%,Outstanding
118,100849,210,Girls,Church of England,100.0,0.0,0.8,8.4,21.7,78.0,0.3,43.1,21.066666666666666,3.7,8.5,123.0,118,55.1,0.5,0.27,0.73,4.7,73.2%,64.2%,43.9%,29.3%,23.6%,69.1%,1,95%,4%,1%,93%,7%,0%,Outstanding
119,100857,210,Boys,Roman Catholic,6.3,93.7,1.4,7.5,39.6,60.2,0.2,42.8,21.92513368983957,4.9,11.7,113.0,89,53.3,1,0.73,1.27,4.78,74.3%,57.5%,54.0%,47.8%,36.3%,74.3%,1,94%,5%,2%,88%,9%,4%,Outstanding
120,100859,210,Girls,Roman Catholic,100.0,0.0,2.1,13.0,37.4,62.4,0.2,49.3,26.34146341463415,4.7,12,116.0,106,48.3,0.32,0.08,0.56,4.39,63.8%,37.1%,69.0%,35.3%,19.8%,61.2%,2,97%,2%,2%,94%,3%,3%,Outstanding
127,100965,211,Mixed,Does not apply,31.5,68.5,4.2,9.2,70.7,29.2,0.1,59.8,34.81349911190053,4.9,10,156.0,140,42,-0.24,-0.45,-0.03,3.54,59.6%,28.8%,45.5%,9.0%,5.1%,50.6%,4,95%,4%,1%,94%,6%,0%,Good
128,100966,211,Mixed,Does not apply,48.8,51.2,4.7,10.4,83.5,16.1,0.4,65.5,48.66204162537166,4.6,12.3,167.0,160,44.5,-0.22,-0.42,-0.02,3.71,59.3%,31.7%,17.4%,11.4%,7.8%,55.1%,4,94%,5%,1%,94%,5%,1%,Good
130,100972,211,Mixed,Does not apply,51.7,48.3,4.0,17.2,50.1,49.9,0.0,62.3,39.92297817715019,4.7,8,110.0,106,54.2,0.66,0.42,0.91,4.48,73.6%,51.8%,20.9%,13.6%,10.9%,73.6%,1,96%,3%,1%,94%,4%,1%,Good
131,100973,211,Mixed,Does not apply,36.5,63.5,3.3,18.8,89.1,10.9,0.0,60.5,48.78444084278768,3.3,4,196.0,179,54.2,0.82,0.63,1.01,4.64,78.6%,59.2%,48.5%,32.7%,21.9%,77.6%,1,92%,7%,1%,91%,8%,1%,Outstanding
132,100974,211,Mixed,None,49.5,50.5,5.5,18.6,68.7,31.3,0.0,76.5,38.4549356223176,5.5,16,185.0,168,47.5,0.43,0.24,0.63,3.86,67.6%,49.2%,10.3%,7.6%,6.5%,62.7%,2,90%,9%,1%,92%,7%,1%,Good
134,100977,211,Mixed,Church of England,43.9,56.1,4.5,5.4,67.9,32.1,0.0,57.3,31.752873563218394,4.8,10,191.0,188,53.9,0.67,0.48,0.85,4.93,73.8%,56.0%,85.3%,45.0%,33.0%,71.2%,1,93%,7%,1%,88%,11%,1%,Outstanding
135,100978,211,Girls,Roman Catholic,88.5,11.5,0.7,7.1,38.6,61.4,0.0,51.0,20.72072072072072,4.1,9.7,132.0,128,51.8,0.34,0.12,0.57,4.36,75.0%,54.5%,34.8%,23.5%,14.4%,72.0%,2,95%,3%,2%,98%,2%,0%,Outstanding
136,100979,211,Mixed,Church of England,46.9,53.1,2.9,15.1,29.9,65.1,5.0,67.4,46.934865900383144,7.8,24.5,74.0,73,39.6,-0.38,-0.68,-0.09,3.14,48.6%,25.7%,8.1%,6.8%,4.1%,44.6%,4,89%,10%,1%,88%,12%,0%,Requires Improvement
141,101053,212,Boys,Does not apply,2.2,97.8,1.9,13.4,43.5,56.5,0.1,39.8,14.216478190630049,4.6,12.4,175.0,163,43.1,-0.18,-0.37,0.02,3.91,58.3%,30.9%,57.1%,29.1%,16.6%,53.1%,3,93%,2%,4%,88%,4%,8%,Requires Improvement
157,101103,212,Mixed,Does not apply,26.8,73.2,100.0,0.0,18.4,81.6,0.0,59.9,43.01675977653631,9.1,27.3,27.0,22,6.3,-1.53,-2.07,-1,0.37,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5,100%,0%,0%,100%,0%,0%,Good
158,101154,213,Mixed,Church of England,51.5,48.5,4.0,17.4,80.4,19.0,0.6,53.0,28.84422110552764,5.9,14.1,153.0,145,49.7,0.16,-0.05,0.37,4.2,69.9%,52.3%,21.6%,11.1%,7.2%,64.1%,3,93%,6%,1%,93%,7%,0%,Outstanding
178,101241,301,Mixed,Does not apply,49.4,50.6,0.8,6.3,42.2,57.5,0.4,29.8,11.576470588235294,5.3,13.2,271.0,259,49.3,0.32,0.17,0.48,4.23,67.2%,49.4%,37.6%,25.1%,16.2%,64.6%,2,97%,1%,1%,95%,4%,1%,Good
180,101244,301,Mixed,Does not apply,50.0,50.0,1.1,9.9,64.4,33.7,2.0,37.5,17.292846114256307,6.6,18.7,295.0,276,47.7,0.22,0.07,0.37,3.91,70.5%,41.7%,13.6%,8.1%,4.4%,64.7%,2,90%,7%,2%,91%,7%,2%,Good
182,101247,301,Mixed,Roman Catholic,46.7,53.3,1.4,3.1,49.5,50.5,0.1,26.6,10.347271438695959,2.9,4.5,219.0,211,53.5,0.54,0.36,0.71,4.47,74.0%,56.2%,28.3%,19.2%,16.4%,69.4%,1,98%,2%,0%,98%,2%,0%,Good
183,101345,302,Mixed,Does not apply,49.3,50.7,3.2,10.6,40.9,58.9,0.3,47.1,22.60536398467433,5.0,10.7,152.0,131,38.1,-0.5,-0.72,-0.28,3.19,45.4%,21.7%,28.9%,12.5%,5.3%,43.4%,4,91%,6%,3%,88%,8%,4%,Good
184,101361,302,Girls,Roman Catholic,95.0,5.0,0.3,7.5,45.0,55.0,0.0,7.5,2.840909090909091,5.2,19.2,94.0,90,77.4,0.92,0.66,1.19,7.5,98.9%,98.9%,90.4%,90.4%,89.4%,98.9%,1,100%,0%,0%,100%,0%,0%,Outstanding
185,101362,302,Boys,Roman Catholic,6.7,93.3,2.0,7.4,14.0,85.9,0.1,14.9,6.861924686192468,4.1,6.9,173.0,171,59.7,0.52,0.32,0.71,5.38,89.6%,71.7%,53.2%,41.0%,33.5%,86.7%,1,96%,4%,0%,95%,5%,0%,Good
186,101364,302,Mixed,Roman Catholic,50.3,49.7,3.7,6.4,36.1,62.0,1.9,25.7,10.707803992740473,4.0,6,167.0,162,50.5,0.27,0.07,0.47,4.51,77.2%,50.9%,41.3%,29.3%,21.6%,73.7%,2,94%,5%,1%,94%,2%,4%,Good
213,101811,306,Mixed,Church of England,51.7,48.3,1.1,14.7,9.3,90.7,0.0,23.2,9.735744089012517,5.4,12.2,110.0,102,45.5,-0.16,-0.41,0.09,4.08,64.5%,33.6%,67.3%,21.8%,10.0%,60.0%,3,98%,1%,1%,100%,0%,0%,Good
214,101813,306,Mixed,Church of England,43.6,56.4,1.7,27.4,30.7,68.9,0.4,41.9,23.651452282157674,4.2,9.5,123.0,107,39.9,-0.21,-0.46,0.03,3.28,50.4%,31.7%,11.4%,5.7%,4.9%,44.7%,3,96%,3%,1%,94%,4%,2%,Inadequate
216,101821,306,Mixed,Roman Catholic,44.5,55.5,0.4,13.4,34.6,63.7,1.7,40.2,21.192052980132452,5.2,14.6,134.0,110,43.2,-0.18,-0.42,0.06,3.81,63.4%,33.6%,50.0%,20.9%,10.4%,55.2%,3,96%,3%,1%,93%,7%,0%,Good
217,101823,306,Girls,Roman Catholic,100.0,0.0,1.0,9.6,19.4,80.6,0.0,13.5,6.433301797540208,3.7,6,147.0,140,61.9,0.89,0.68,1.11,5.77,90.5%,72.1%,81.0%,72.8%,50.3%,89.1%,1,99%,1%,1%,100%,0%,0%,Outstanding
226,101851,306,Mixed,Does not apply,27.2,72.8,99.6,0.4,20.1,79.9,0.0,59.0,45.089285714285715,5.7,15.3,44.0,40,2.3,-1.63,-2.03,-1.23,0.05,2.3%,0.0%,0.0%,0.0%,0.0%,0.0%,5,89%,11%,0%,86%,14%,0%,Good
228,101853,306,Mixed,Does not apply,6.5,93.5,82.8,17.2,4.6,95.4,0.0,68.2,36.25954198473282,12.6,36.4,40.0,39,3.9,-2.66,-3.06,-2.25,0.16,2.5%,0.0%,0.0%,0.0%,0.0%,0.0%,5,60%,28%,12%,53%,29%,18%,Outstanding
230,101928,307,Mixed,None,44.6,55.4,0.5,13.5,83.9,16.0,0.2,26.7,14.351851851851851,4.2,8.7,233.0,122,48.2,1.09,0.86,1.32,4.13,60.9%,45.9%,20.2%,10.7%,8.6%,57.9%,1,94%,4%,2%,89%,7%,4%,Outstanding
231,101934,307,Mixed,Roman Catholic,50.6,49.4,1.8,6.4,47.7,52.3,0.0,14.0,6.974305191400104,3.6,6.4,293.0,282,56.6,0.82,0.67,0.97,5.28,86.7%,65.5%,75.4%,61.1%,39.9%,84.3%,1,98%,2%,0%,96%,4%,0%,Outstanding
232,101939,307,Mixed,None,44.0,56.0,1.1,11.8,61.0,39.0,0.0,38.0,21.747967479674795,4.7,11.1,203.0,187,49.1,0.24,0.05,0.42,4.47,65.5%,48.3%,82.8%,42.4%,22.2%,65.0%,2,94%,5%,1%,92%,7%,1%,Good
233,101940,307,Mixed,None,48.8,51.2,1.3,8.9,57.8,42.2,0.1,35.6,15.865921787709498,4.7,11.1,234.0,232,54.2,0.72,0.55,0.88,4.97,81.6%,63.7%,51.7%,43.6%,32.1%,78.6%,1,91%,6%,3%,85%,13%,3%,Outstanding
247,101965,307,Mixed,Does not apply,29.9,70.1,99.4,0.6,60.5,39.5,0.0,55.8,42.3728813559322,6.9,22.3,26.0,19,0.8,-1.68,-2.26,-1.1,0.06,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5,100%,0%,0%,100%,0%,0%,Good
252,102048,308,Girls,Does not apply,100.0,0.0,0.2,5.0,49.4,50.6,0.0,33.6,13.949433304272013,4.6,9.2,186.0,175,50.6,0.29,0.1,0.48,4.7,74.7%,51.1%,62.9%,44.1%,26.9%,67.2%,2,97%,2%,1%,98%,2%,0%,Outstanding
253,102049,308,Mixed,Does not apply,51.2,48.8,3.5,18.0,35.4,64.6,0.0,37.0,18.375717801476622,6.0,16.8,201.0,193,43.8,-0.14,-0.32,0.04,3.86,57.2%,35.3%,56.2%,24.4%,13.4%,51.2%,3,95%,4%,1%,91%,6%,3%,Requires Improvement
254,102052,308,Mixed,Church of England,46.3,53.7,1.5,18.0,42.8,56.3,0.9,40.2,16.53333333333333,6.8,18.2,103.0,68,41,-0.31,-0.61,0,3.46,49.5%,29.1%,32.0%,13.6%,11.7%,45.6%,3,97%,2%,1%,96%,2%,2%,Good
255,102053,308,Girls,Roman Catholic,100.0,0.0,0.1,4.2,20.9,78.7,0.5,33.1,12.969924812030076,2.9,4.2,182.0,168,56.9,0.88,0.68,1.07,5.28,73.1%,63.7%,72.5%,53.3%,39.0%,72.5%,1,95%,4%,1%,93%,7%,0%,Outstanding
256,102055,308,Mixed,None,41.2,58.8,0.0,4.4,26.5,72.8,0.7,7.7,3.012912482065997,3.4,4,192.0,176,79.8,0.68,0.49,0.87,7.87,100.0%,98.4%,92.7%,91.7%,89.6%,99.5%,1,99%,1%,0%,100%,0%,0%,Outstanding
257,102056,308,Mixed,None,47.6,52.4,1.0,6.5,68.7,31.3,0.0,33.4,16.369529983792543,6.0,16.6,86.0,59,38.1,0.08,-0.25,0.4,3.61,51.2%,33.7%,76.7%,14.0%,3.5%,38.4%,3,100%,0%,0%,100%,0%,0%,Good
258,102058,308,Boys,Roman Catholic,0.3,99.7,2.1,6.0,33.1,66.3,0.6,29.2,9.072978303747535,4.6,9.6,156.0,148,49.6,0.24,0.03,0.45,4.54,71.2%,55.1%,53.8%,30.8%,20.5%,67.3%,2,98%,1%,1%,98%,2%,0%,Good
263,102067,308,Mixed,Does not apply,28.5,71.5,90.0,10.0,32.1,65.5,2.4,57.3,37.75100401606426,11.3,37.5,28.0,23,0.7,-2.14,-2.67,-1.62,0.04,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5,96%,0%,4%,94%,0%,6%,Outstanding
266,102153,309,Girls,Does not apply,98.4,1.6,1.2,6.8,32.4,66.2,1.4,43.6,20.0,5.7,14.1,144.0,111,49.5,0.4,0.16,0.64,4.54,70.1%,39.6%,66.0%,34.7%,22.2%,65.3%,2,98%,1%,1%,97%,3%,0%,Good
267,102154,309,Mixed,Does not apply,47.8,52.2,1.4,12.2,24.5,72.8,2.7,29.9,13.132022471910112,5.1,12.4,229.0,216,54.9,0.56,0.39,0.73,4.87,73.4%,58.5%,34.1%,27.9%,23.1%,70.7%,1,94%,4%,2%,90%,6%,4%,Good
268,102156,309,Mixed,None,49.4,50.6,1.6,5.0,12.2,87.8,0.0,15.7,5.411499436302142,5.9,12.8,269.0,237,57.7,0.48,0.32,0.64,5.46,84.4%,69.1%,61.0%,54.6%,44.2%,79.9%,2,95%,3%,2%,89%,8%,3%,Outstanding
269,102157,309,Mixed,Does not apply,42.9,57.1,3.3,25.7,50.6,46.0,3.4,63.5,55.736371033360456,5.1,11.9,232.0,227,44.3,0.06,-0.11,0.22,4.09,63.4%,37.9%,55.2%,29.7%,17.2%,55.6%,3,90%,7%,3%,89%,9%,2%,Outstanding
276,102239,310,Mixed,Does not apply,47.0,53.0,2.4,4.7,69.8,30.2,0.0,31.4,12.649164677804295,3.6,5,266.0,247,57.3,0.99,0.83,1.15,5.32,78.2%,58.3%,88.7%,49.2%,27.8%,76.7%,1,97%,2%,1%,98%,1%,1%,Outstanding
277,102243,310,Girls,Roman Catholic,100.0,0.0,0.6,9.2,33.2,66.6,0.3,16.7,7.468354430379747,5.3,11.1,147.0,146,58.4,0.78,0.57,0.99,5.39,85.0%,63.9%,84.4%,57.8%,37.4%,83.7%,1,97%,1%,1%,96%,0%,4%,Outstanding
284,102260,310,Mixed,Does not apply,35.1,64.9,99.4,0.6,55.6,44.4,0.0,44.4,28.654970760233915,8.0,17.8,31.0,27,0.3,-1.71,-2.19,-1.22,0.03,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5,95%,5%,0%,100%,0%,0%,Outstanding
288,102449,312,Mixed,None,18.8,81.2,4.1,15.7,36.0,64.0,0.0,41.9,16.893732970027248,8.0,21.1,69.0,67,37.3,-0.5,-0.81,-0.2,3.22,47.8%,31.9%,26.1%,7.2%,2.9%,36.2%,4,84%,14%,2%,79%,21%,0%,Requires Improvement
298,102545,313,Boys,Roman Catholic,4.7,95.3,0.7,8.7,18.9,81.1,0.0,19.7,9.594706368899917,4.2,6.9,178.0,166,58.3,0.57,0.38,0.77,5.48,86.0%,68.5%,77.0%,50.0%,29.8%,84.3%,1,97%,2%,1%,97%,3%,0%,Outstanding
301,102554,313,Mixed,Does not apply,23.1,76.9,100.0,0.0,44.1,55.9,0.0,44.5,35.294117647058826,7.8,26.2,11.0,10,2.5,-1.44,-2.23,-0.64,0.3,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5,100%,0%,0%,100%,0%,0%,Good
303,102599,314,Mixed,Does not apply,46.4,53.6,2.8,23.7,13.3,85.5,1.3,33.4,19.387755102040817,5.6,14.7,74.0,68,39.7,-0.46,-0.77,-0.16,3.05,51.4%,24.3%,9.5%,2.7%,1.4%,44.6%,4,91%,8%,1%,94%,6%,0%,Good
310,102673,315,Girls,Does not apply,100.0,0.0,1.4,12.2,37.4,62.6,0.0,28.1,14.123867069486403,4.3,9.3,229.0,216,54.7,0.81,0.64,0.98,4.87,76.0%,50.2%,64.2%,48.5%,32.8%,75.5%,1,95%,4%,1%,89%,8%,3%,Outstanding
311,102674,315,Mixed,Does not apply,48.8,51.2,4.9,19.6,31.0,69.0,0.0,43.3,24.31906614785992,5.2,12.4,140.0,109,43.9,0.03,-0.21,0.27,3.69,61.4%,39.3%,21.4%,15.0%,10.7%,53.6%,3,94%,6%,1%,86%,12%,2%,Good
312,102679,315,Boys,None,0.0,100.0,3.5,16.7,37.7,62.3,0.0,20.2,11.018867924528301,4.7,10.8,226.0,202,54.8,0.82,0.64,0.99,4.7,74.3%,52.2%,42.0%,32.3%,19.9%,73.5%,1,90%,7%,2%,87%,11%,2%,Outstanding
313,102681,315,Boys,Roman Catholic,0.0,100.0,4.1,14.0,28.3,71.7,0.0,18.3,8.781645569620252,4.5,8.6,192.0,173,53.7,0.27,0.08,0.46,5.1,78.6%,56.8%,63.0%,48.4%,29.2%,75.0%,2,98%,1%,2%,93%,0%,7%,Good
323,102777,316,Boys,Does not apply,0.0,100.0,0.8,8.6,76.0,24.0,0.0,47.0,18.741633199464523,5.1,12.8,154.0,95,44.9,-0.11,-0.36,0.15,3.86,62.3%,39.6%,51.9%,15.6%,10.4%,57.1%,3,95%,5%,0%,94%,6%,0%,Good
324,102778,316,Mixed,Does not apply,43.7,56.3,0.9,9.7,65.0,34.9,0.1,53.9,21.38728323699422,5.7,13.9,259.0,237,47.7,0.3,0.14,0.46,4.35,61.8%,43.6%,65.3%,25.9%,17.8%,58.7%,2,96%,2%,2%,95%,3%,2%,Good
326,102784,316,Mixed,Does not apply,54.3,45.7,2.4,12.2,62.4,36.5,1.1,47.9,24.6588693957115,7.7,22.9,193.0,132,38,-0.57,-0.78,-0.35,3.31,48.7%,30.1%,24.4%,9.8%,7.3%,40.9%,5,89%,7%,4%,89%,7%,5%,Inadequate
327,102786,316,Girls,Roman Catholic,93.9,6.1,0.2,4.4,39.2,60.5,0.3,39.8,12.713178294573643,2.8,4.5,184.0,180,51.9,0.24,0.06,0.43,4.59,75.0%,50.5%,54.9%,33.2%,21.2%,72.3%,2,98%,1%,1%,98%,2%,0%,Outstanding
328,102787,316,Boys,Roman Catholic,8.1,91.9,0.8,6.6,54.9,44.5,0.6,36.3,11.603053435114504,2.5,2.2,198.0,196,51.3,0.01,-0.17,0.19,4.7,71.7%,47.5%,96.5%,41.4%,23.7%,68.7%,3,95%,4%,1%,93%,7%,0%,Outstanding
329,102849,317,Mixed,Does not apply,49.0,51.0,3.1,7.3,53.2,46.8,0.0,32.3,18.73822975517891,7.1,22.3,158.0,128,45.4,0.19,-0.03,0.41,3.97,57.6%,38.0%,49.4%,33.5%,16.5%,56.3%,3,88%,10%,2%,76%,20%,4%,Requires Improvement
