,URN,LA,GENDER,RELCHAR,PNORG,PNORB,PSENELSE,PSENELK,PNUMEAL,PNUMENGFL,PNUMUNCFL,PNUMFSMEVER,PNUMFSM,PERCTOT,PPERSABS10,TPUP,P8PUP,ATT8SCR,P8MEA,P8CILOW,P8CIUPP,EBACCAPS,PTL2BASICS_94,PTL2BASICS_95,PTEBACC_E_PTQ_EE,PTEBACC_94,PTEBACC_95,PT5EM_94,P8_BANDING,OVERALL_DESTPER,NOT_SUSTAINEDPER,UNKNOWNPER,OVERALL_DESTPER_DIS,NOT_SUSTAINEDPER_DIS,UNKNOWNPER_DIS,Rating
2170,126092,938,Mixed,Church of England,48.9,51.1,1.1,16.5,3.2,96.5,0.3,11.7,4.443447037701975,5.8,14.4,361.0,340,49.1,0.26,0.12,0.39,4.24,69.0%,44.6%,26.3%,19.7%,12.5%,65.1%,2,97%,2%,1%,85%,10%,5%,Good
2171,126093,938,Girls,Church of England,100.0,0.0,1.0,9.7,9.5,90.5,0.0,12.9,6.063055780113177,4.3,9.6,194.0,190,56.2,0.59,0.41,0.78,4.84,78.4%,59.8%,38.1%,28.9%,21.1%,76.3%,1,98%,2%,0%,92%,8%,0%,Good
2172,126094,938,Boys,Church of England,0.0,100.0,2.8,20.5,10.9,87.9,1.2,19.1,9.327217125382264,5.9,16.9,128.0,124,41.3,-0.34,-0.56,-0.11,3.5,56.3%,35.2%,33.6%,14.8%,8.6%,53.1%,4,95%,3%,2%,91%,9%,0%,Requires Improvement
2173,126095,938,Mixed,Roman Catholic,52.6,47.4,1.7,18.1,35.2,64.8,0.0,15.5,6.465067778936392,5.0,11.9,155.0,150,47.9,0.23,0.02,0.43,4.07,65.8%,41.3%,22.6%,18.1%,11.6%,61.3%,2,97%,1%,2%,96%,0%,4%,Good
2174,126096,938,Mixed,Roman Catholic,46.4,53.6,2.5,12.6,9.3,90.7,0.0,19.9,10.487444608567207,5.1,15,117.0,115,48.8,0.29,0.06,0.53,4.01,67.5%,39.3%,27.4%,17.1%,12.0%,66.7%,2,93%,4%,3%,71%,24%,5%,Good
2176,126101,938,Mixed,Roman Catholic,50.3,49.7,2.9,19.5,8.7,91.3,0.0,8.4,2.780269058295964,4.3,7.6,149.0,142,56,0.7,0.48,0.91,4.79,80.5%,55.7%,24.8%,20.8%,16.8%,76.5%,1,97%,2%,1%,92%,8%,0%,Outstanding
2210,126157,938,Mixed,Does not apply,31.3,68.7,100.0,0.0,14.2,85.8,0.0,37.6,29.85781990521327,9.9,31,31.0,29,2,-1.58,-2.04,-1.11,0.06,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5,100%,0%,0%,100%,0%,0%,Good
2212,126161,938,Mixed,Does not apply,28.6,71.4,98.8,1.2,3.7,96.3,0.0,45.7,34.69387755102041,9.9,28,35.0,34,2,-1.64,-2.07,-1.2,0.12,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5,95%,2%,2%,95%,0%,5%,Good
2215,126458,865,Mixed,Does not apply,47.6,52.4,3.4,22.3,4.8,95.0,0.3,18.0,8.885941644562333,5.7,14.7,109.0,107,45.6,0.04,-0.2,0.28,3.81,58.7%,36.7%,36.7%,13.8%,6.4%,56.0%,3,88%,10%,2%,87%,13%,0%,Good
2216,126473,865,Mixed,Roman Catholic,36.9,63.1,3.5,21.5,11.8,88.2,0.0,20.4,10.909090909090908,7.1,21.8,98.0,89,43.2,-0.18,-0.45,0.09,3.52,64.3%,32.7%,14.3%,8.2%,5.1%,59.2%,3,96%,4%,0%,100%,0%,0%,Good
2217,126510,865,Mixed,None,53.2,46.8,2.1,14.1,2.4,97.6,0.0,28.3,14.688601645123384,5.6,13.9,131.0,128,43.5,-0.14,-0.36,0.08,3.46,54.2%,31.3%,6.9%,2.3%,1.5%,52.7%,3,96%,3%,1%,90%,10%,0%,Requires Improvement
2245,129342,334,Mixed,Does not apply,55.1,44.9,2.2,15.6,2.5,97.4,0.1,57.6,33.07392996108949,5.1,10.8,110.0,110,45.5,-0.05,-0.29,0.19,3.63,68.2%,44.5%,0.0%,0.0%,0.0%,62.7%,3,96%,4%,0%,95%,5%,0%,Good
2248,129645,856,Girls,Muslim,100.0,0.0,0.0,5.9,78.0,21.7,0.3,33.9,12.5,3.2,5.8,60.0,53,56.2,0.95,0.6,1.29,4.59,86.7%,66.7%,21.7%,15.0%,10.0%,81.7%,1,74%,3%,22%,83%,0%,17%,Good
2250,130247,870,Mixed,Does not apply,39.2,60.8,1.8,23.7,18.6,81.2,0.2,48.4,23.366013071895424,7.4,22.4,103.0,93,34.9,-0.57,-0.83,-0.31,2.79,33.0%,14.6%,2.9%,1.9%,1.0%,33.0%,5,88%,9%,2%,88%,8%,5%,Requires Improvement
2292,130909,380,Mixed,Does not apply,48.0,52.0,1.6,9.8,27.8,71.5,0.7,30.1,14.768683274021353,4.9,11.8,165.0,160,53,0.59,0.39,0.79,4.86,73.9%,56.4%,69.1%,46.7%,27.9%,72.1%,1,96%,4%,1%,94%,4%,2%,Outstanding
2293,130912,213,Mixed,Christian,51.1,48.9,2.5,10.5,89.6,10.4,0.0,62.9,35.36184210526316,4.7,9.8,175.0,165,54.6,0.95,0.76,1.15,5.29,81.7%,56.0%,82.9%,64.6%,45.1%,78.3%,1,90%,8%,3%,88%,9%,3%,Outstanding
2310,131065,341,Mixed,Does not apply,45.4,54.6,0.2,16.9,22.9,75.5,1.7,63.5,47.96686746987952,6.5,18.5,231.0,209,39.6,-0.41,-0.58,-0.23,3.13,48.9%,25.1%,13.9%,5.2%,1.7%,42.4%,4,84%,15%,1%,81%,18%,1%,Good
2311,131068,850,Mixed,Does not apply,23.4,76.6,99.2,0.8,7.0,93.0,0.0,31.4,20.3125,9.5,33.3,8.0,8,0.9,-1.47,-2.36,-0.58,0.04,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5,86%,7%,7%,83%,0%,17%,Good
2339,131280,306,Girls,Roman Catholic,99.6,0.4,0.9,7.2,40.1,59.9,0.0,46.2,18.773234200743495,6.5,21.1,90.0,72,39.6,-0.37,-0.66,-0.07,3.44,43.3%,30.0%,33.3%,16.7%,13.3%,36.7%,4,96%,2%,2%,96%,2%,2%,Good
2342,131310,307,Mixed,Does not apply,44.3,55.7,3.0,9.6,29.9,70.1,0.0,18.7,9.934735315445975,4.9,10.2,177.0,164,53.4,0.47,0.27,0.67,4.75,75.1%,54.2%,39.5%,33.9%,26.0%,70.1%,2,98%,2%,1%,95%,5%,0%,Outstanding
2364,131512,355,Mixed,Roman Catholic,49.2,50.8,5.9,14.5,35.8,64.2,0.0,51.8,28.980891719745223,5.0,13.5,118.0,108,45.3,0.39,0.15,0.63,3.89,65.3%,43.2%,29.7%,18.6%,11.9%,53.4%,2,88%,11%,1%,90%,10%,0%,Good
2371,131549,916,Mixed,Does not apply,21.3,78.7,100.0,0.0,3.9,96.1,0.0,48.0,40.94488188976378,5.3,10.7,16.0,15,0.4,-1.92,-2.56,-1.27,0.03,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5,100%,0%,0%,100%,0%,0%,Outstanding
2380,131601,845,Mixed,Does not apply,47.3,52.7,5.7,12.8,3.3,96.7,0.0,29.1,15.457788347205708,7.8,21.3,177.0,171,38,-0.56,-0.76,-0.37,3.32,48.6%,30.5%,33.9%,18.6%,10.2%,42.9%,5,91%,8%,1%,84%,14%,2%,Good
2381,131609,204,Mixed,Does not apply,45.8,54.2,3.2,7.3,62.6,37.4,0.0,66.2,54.1241890639481,5.3,13.6,167.0,159,48.1,0.42,0.22,0.61,4.11,58.7%,38.3%,29.3%,20.4%,13.8%,58.1%,2,90%,8%,2%,87%,9%,4%,Good
2383,131669,845,Mixed,Does not apply,54.0,46.0,1.7,16.4,6.5,93.5,0.0,38.2,22.328244274809162,9.2,26.9,121.0,117,34.8,-0.83,-1.07,-0.6,3.01,46.3%,16.5%,34.7%,13.2%,4.1%,39.7%,5,85%,14%,1%,70%,28%,2%,Requires Improvement
2386,131690,206,Mixed,None,41.3,58.7,2.6,16.2,30.8,69.2,0.0,66.5,37.557959814528594,7.4,21.7,121.0,101,38.4,-0.39,-0.64,-0.14,3.38,45.5%,31.4%,37.2%,16.5%,9.1%,42.1%,4,89%,8%,3%,88%,10%,1%,Good
2390,131726,354,Mixed,Roman Catholic/Church of England,51.8,48.2,3.7,3.2,4.1,95.9,0.0,22.9,11.29032258064516,4.3,8.8,115.0,114,57,0.56,0.32,0.79,4.79,84.3%,59.1%,22.6%,20.9%,17.4%,81.7%,1,95%,5%,0%,88%,12%,0%,Good
2395,131749,370,Mixed,Christian,50.8,49.2,2.5,12.4,12.4,87.6,0.0,45.8,29.565217391304348,7.0,19.9,165.0,160,44.7,0,-0.2,0.2,3.72,53.9%,36.4%,46.1%,25.5%,12.7%,52.7%,3,94%,5%,1%,93%,6%,1%,Good
2398,131756,393,Mixed,Does not apply,50.1,49.9,0.8,24.8,1.0,99.0,0.0,59.7,34.10852713178294,8.2,25.5,106.0,105,40.9,-0.31,-0.55,-0.06,3.42,58.5%,31.1%,11.3%,2.8%,2.8%,49.1%,4,88%,12%,0%,84%,16%,0%,Requires Improvement
2399,131757,309,Mixed,Does not apply,44.8,55.2,2.4,4.9,65.5,34.1,0.4,47.3,19.664492078285182,4.5,9.8,200.0,179,37,-0.25,-0.44,-0.06,3.28,43.5%,24.0%,39.0%,14.0%,11.0%,39.0%,4,89%,8%,2%,87%,9%,4%,Good
2409,131880,352,Mixed,Roman Catholic,45.8,54.2,3.0,9.6,35.4,64.5,0.1,56.1,27.99188640973631,3.6,6.9,187.0,181,48.2,0.32,0.13,0.5,4.14,55.6%,38.0%,44.9%,32.1%,16.0%,54.0%,2,92%,7%,1%,93%,6%,1%,Good
2412,131895,373,Mixed,Christian,52.3,47.7,0.7,6.3,32.1,65.7,2.2,59.8,37.67605633802817,6.2,15.3,163.0,147,40.6,-0.1,-0.31,0.11,2.94,42.3%,23.3%,22.1%,16.0%,8.6%,41.1%,3,91%,9%,0%,90%,10%,0%,Good
2413,131896,373,Mixed,Christian,51.9,48.1,0.7,10.4,16.7,80.9,2.4,69.9,44.857142857142854,7.3,18,112.0,98,38.6,0,-0.25,0.26,2.95,35.7%,18.8%,30.4%,11.6%,3.6%,33.9%,3,90%,10%,1%,85%,14%,1%,Good
2414,131897,315,Mixed,Does not apply,42.1,57.9,1.4,7.0,19.5,80.5,0.0,40.5,19.854132901134523,5.0,12.8,162.0,159,49.1,0.55,0.35,0.75,4.37,61.7%,46.9%,45.1%,30.9%,22.2%,58.6%,1,96%,4%,0%,94%,6%,0%,Outstanding
2418,131945,856,Mixed,None,52.1,47.9,0.1,14.4,33.8,66.3,0.0,50.3,27.8125,5.6,14.5,169.0,130,42.1,-0.27,-0.49,-0.05,3.62,47.3%,31.4%,31.4%,15.4%,11.2%,46.2%,4,86%,10%,4%,80%,12%,8%,Good
2420,131969,865,Mixed,Does not apply,48.8,51.2,2.7,7.8,3.5,96.0,0.5,20.3,9.439834024896266,6.4,15,148.0,138,43.4,-0.21,-0.42,0,3.78,58.8%,31.1%,36.5%,23.6%,15.5%,56.1%,3,95%,5%,1%,87%,13%,0%,Good
2425,131987,391,Mixed,Does not apply,33.2,66.8,99.5,0.5,22.8,77.2,0.0,67.4,53.2608695652174,10.5,32.3,19.0,19,0.3,-1.51,-2.08,-0.93,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5,100%,0%,0%,100%,0%,0%,Outstanding
2432,132058,316,Mixed,Does not apply,45.2,54.8,0.3,7.1,76.2,23.8,0.0,52.1,22.08915502328676,4.8,11.9,272.0,255,48.9,0.11,-0.05,0.27,4.44,68.8%,47.1%,52.6%,32.7%,22.1%,63.2%,3,94%,5%,1%,95%,5%,1%,Good
2441,132217,380,Mixed,Does not apply,48.6,51.4,2.6,14.7,2.3,97.7,0.0,19.8,9.872922776148583,4.7,9.9,168.0,166,47.2,0.12,-0.08,0.31,3.68,72.0%,47.6%,8.3%,6.5%,4.8%,65.5%,3,96%,4%,1%,92%,8%,0%,Good
2443,132233,333,Mixed,Does not apply,33.8,66.2,100.0,0.0,21.2,78.8,0.0,54.3,39.8989898989899,6.5,17.1,26.0,26,0.5,-1.59,-2.09,-1.1,0.01,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5,100%,0%,0%,100%,0%,0%,Outstanding
2452,132711,210,Girls,Does not apply,98.6,1.4,0.9,9.2,38.5,58.5,3.0,48.3,29.42528735632184,4.1,8,134.0,123,51.7,0.65,0.42,0.87,4.95,65.7%,48.5%,88.8%,47.8%,32.1%,62.7%,1,92%,8%,0%,93%,7%,0%,Outstanding
2453,132727,320,Mixed,Christian,43.5,56.5,1.1,10.0,31.7,68.3,0.0,46.8,19.904306220095695,4.8,11.4,168.0,162,51.6,0.4,0.2,0.59,4.48,72.6%,49.4%,55.4%,31.5%,19.0%,70.2%,2,96%,2%,2%,94%,2%,4%,Good
